0.020,0.020,0.000,-0.000
0.040,0.040,0.000,-0.000
0.060,0.060,0.000,-0.000
0.080,0.080,0.000,-0.000
0.100,0.100,0.000,-0.000
0.120,0.120,0.000,-0.000
0.140,0.140,0.000,0.041
0.160,0.160,0.000,0.111
0.180,0.180,0.029,0.111
0.200,0.200,0.167,0.111
0.220,0.220,0.129,0.132
0.240,0.240,0.129,0.179
0.260,0.260,0.127,0.177
0.280,0.280,0.102,0.151
0.300,0.300,0.117,0.149
0.320,0.320,0.127,0.160
0.340,0.340,0.158,0.214
0.360,0.360,0.175,0.265
0.380,0.380,0.197,0.280
0.400,0.400,0.204,0.292
0.420,0.420,0.220,0.302
0.440,0.440,0.233,0.325
0.460,0.460,0.250,0.366
0.480,0.480,0.261,0.387
0.500,0.500,0.276,0.433
0.520,0.520,0.293,0.459
0.540,0.540,0.334,0.493
0.560,0.560,0.342,0.508
0.580,0.580,0.342,0.524
0.600,0.600,0.319,0.569
0.620,0.620,0.305,0.581
0.640,0.640,0.242,0.544
0.676,0.644,0.220,0.474
0.696,0.664,0.240,0.366
0.750,0.650,0.298,0.314
0.790,0.650,0.366,0.348
0.847,0.633,0.424,0.457
0.871,0.649,0.453,0.516
0.895,0.665,0.497,0.533
0.938,0.662,0.533,0.527
0.923,0.717,0.593,0.540
0.966,0.714,0.648,0.536
0.970,0.750,0.680,0.537
1.014,0.746,0.704,0.555
1.017,0.783,0.731,0.602
1.019,0.821,0.778,0.645
1.042,0.838,0.802,0.657
1.065,0.855,0.827,0.674
1.088,0.872,0.849,0.689
1.111,0.889,0.899,0.734
1.135,0.905,0.923,0.780
1.158,0.922,0.917,0.816
1.182,0.938,0.945,0.855
1.179,0.981,0.970,0.875
1.101,1.099,1.020,0.902
1.121,1.119,1.050,0.955
1.142,1.138,0.999,1.010
1.162,1.158,1.054,1.101
1.183,1.177,1.070,1.128
1.203,1.197,1.076,1.135
1.468,0.972,1.102,1.133
1.526,0.954,1.143,1.170
1.524,0.996,1.332,1.091
1.583,0.977,1.435,1.104
1.612,0.988,1.484,1.117
1.642,0.998,1.538,1.136
1.344,1.336,1.609,1.143
1.364,1.356,1.642,1.171
1.384,1.376,1.569,1.321
1.404,1.396,1.548,1.432
1.424,1.416,1.573,1.460
1.751,1.129,1.532,1.416
1.852,1.068,1.534,1.407
1.811,1.149,1.688,1.300
1.877,1.123,1.801,1.300
1.525,1.515,1.855,1.358
1.546,1.534,1.810,1.432
1.566,1.554,1.745,1.681
1.586,1.574,1.785,1.753
1.915,1.285,1.787,1.767
1.983,1.257,1.828,1.643
2.013,1.267,2.009,1.471
2.084,1.236,2.110,1.475
1.687,1.673,2.124,1.548
1.707,1.693,2.110,1.623
1.728,1.712,1.997,1.870
1.747,1.733,2.024,1.995
2.157,1.363,2.041,2.013
2.141,1.419,2.163,1.894
2.169,1.431,2.384,1.715
1.827,1.813,2.464,1.684
1.848,1.832,2.462,1.749
1.867,1.853,2.306,2.036
2.282,1.478,2.192,2.201
2.216,1.584,2.190,2.133
2.241,1.599,2.497,1.974
2.314,1.566,2.558,1.969
1.967,1.953,2.650,1.981
1.988,1.972,2.676,2.041
2.394,1.606,2.485,2.244
2.421,1.619,2.459,2.271
2.397,1.683,2.685,2.100
2.067,2.053,2.745,1.999
2.086,2.074,2.686,2.058
2.107,2.093,2.546,2.360
2.436,1.804,2.577,2.503
2.513,1.767,2.727,2.480
2.171,2.149,2.861,2.303
2.189,2.171,2.858,2.311
2.210,2.190,2.801,2.479
2.555,1.885,2.704,2.616
2.635,1.845,2.702,2.653
2.273,2.247,2.947,2.459
2.294,2.266,3.026,2.426
2.315,2.285,2.861,2.653
2.737,1.903,2.793,2.801
2.704,1.976,2.979,2.713
2.847,1.873,3.120,2.496
2.871,1.889,3.103,2.483
2.427,2.373,3.282,2.492
3.005,1.835,3.329,2.546
3.038,1.842,3.112,2.718
3.008,1.912,3.274,2.638
2.512,2.448,3.539,2.556
2.538,2.462,3.508,2.650
3.169,1.871,3.236,2.882
3.202,1.878,3.272,2.898
2.599,2.521,3.503,2.639
2.613,2.547,3.628,2.585
3.094,2.106,3.404,2.881
3.117,2.123,3.451,3.007
2.676,2.604,3.696,2.929
2.692,2.628,3.543,2.944
2.708,2.652,3.545,3.123
2.918,2.482,3.480,3.197
2.927,2.513,3.500,3.222
2.755,2.725,3.549,3.265
2.765,2.755,3.491,3.271
2.800,2.760,3.514,3.277
2.728,2.872,3.476,3.366
2.815,2.825,3.500,3.468
2.793,2.887,3.505,3.593
2.813,2.907,3.563,3.595
2.804,2.956,3.608,3.640
2.803,2.997,3.526,3.639
2.713,3.127,3.604,3.780
2.714,3.166,3.499,3.631
2.803,3.117,3.430,3.818
2.862,3.098,3.511,3.833
2.856,3.064,3.555,3.847
2.868,3.012,3.583,3.961
2.710,3.130,3.693,3.943
2.872,2.928,3.649,3.924
2.888,2.872,3.662,3.969
3.386,2.334,3.592,3.987
5.330,0.350,3.815,3.796
